Proteins, RateConstant, Number of peptides, SD, Abundance
FARP2_MOUSE,    0.141585, 1,    0.100078, 4761541632.000000
FAS_MOUSE,    0.454196, 59,    0.131242, 2170551271424.000000
FBLL1_MOUSE,    0.154781, 2,    0.106187, 2608046592.000000
FBRL_MOUSE,    0.213212, 7,    0.038212, 36110929920.000000
FBX22_MOUSE,    0.701952, 2,    0.425236, 177768672.000000
FBX3_MOUSE,    1.215698, 1,    0.643505, 354614368.000000
FCGR2_MOUSE,    0.724529, 2,    0.195557, 1444044160.000000
FCGRN_MOUSE,    0.437553, 0,    0.000000, 539620800.000000
FCL_MOUSE,    0.234714, 3,    0.041857, 11313488896.000000
FCSK_MOUSE,    0.330641, 2,    0.110335, 155436096.000000
FDFT_MOUSE,    5.409367, 1,    0.000000, 2592946944.000000
FERM2_MOUSE,    0.267505, 8,    0.057481, 27157745664.000000
FETUA_MOUSE,    6.817161, 2,    2.940445, 8534210560.000000
FGGY_MOUSE,    0.285128, 5,    0.029846, 41390383104.000000
FIBA_MOUSE,    1.329004, 5,    0.634572, 83018366976.000000
FIBB_MOUSE,    1.920377, 8,    0.476635, 106070630400.000000
FIBG_MOUSE,    1.312125, 4,    0.191116, 91424702464.000000
FINC_MOUSE,    0.922977, 19,    0.247006, 107104804864.000000
FITM2_MOUSE,    0.154911, 1,    0.084247, 2038884608.000000
FKB11_MOUSE,    0.301465, 1,    0.000000, 712011392.000000
FKB1A_MOUSE,    0.395072, 4,    0.175065, 30999541760.000000
FKBP2_MOUSE,    0.431210, 4,    0.068931, 26935644160.000000
FKBP3_MOUSE,    0.410853, 4,    0.200398, 17180874752.000000
FKBP4_MOUSE,    0.558656, 6,    0.084225, 30088314880.000000
FKBP8_MOUSE,    1.379735, 4,    0.581963, 12147718144.000000
FLII_MOUSE,    0.495204, 1,    0.340936, 377193472.000000
FLNA_MOUSE,    0.189827, 7,    0.031999, 20044464128.000000
FLNB_MOUSE,    0.215571, 19,    0.109586, 107363131392.000000
FLOT1_MOUSE,    0.307048, 4,    0.324989, 546530816.000000
FMO1_MOUSE,    0.340211, 15,    0.091246, 296273575936.000000
FMO2_MOUSE,    0.133131, 2,    0.166974, 561197248.000000
FMO5_MOUSE,    0.518351, 14,    0.122692, 801283440640.000000
FPPS_MOUSE,    0.750457, 8,    0.187441, 188051898368.000000
FRDA_MOUSE,    0.138548, 1,    0.039731, 1882468224.000000
FRIH_MOUSE,    0.489435, 3,    0.276570, 3172980224.000000
FRIL1_MOUSE,    0.719294, 8,    0.155766, 458112434176.000000
FSCN1_MOUSE,    0.060715, 0,    0.000000, 22011984.000000
FTCD_MOUSE,    0.310285, 28,    0.077396, 673661845504.000000
FUBP1_MOUSE,    0.559425, 3,    0.079855, 782032256.000000
FUBP2_MOUSE,    0.324412, 4,    0.028493, 12307480576.000000
FUCM_MOUSE,    0.155442, 1,    0.000000, 399833792.000000
FUMH_MOUSE,    0.172742, 18,    0.043574, 582254919680.000000
FUS_MOUSE,    0.458483, 4,    0.231685, 3389415680.000000
FXR1_MOUSE,    0.684153, 1,    0.302589, 352109696.000000
FXR2_MOUSE,    0.106983, 0,    0.000000, 108498528.000000
G3BP1_MOUSE,    0.226916, 4,    0.037950, 13871832064.000000
G3BP2_MOUSE,    0.381643, 4,    0.140641, 1086871808.000000
G3P_MOUSE,    0.225329, 31,    0.058360, 6564451713024.000000
G6PC1_MOUSE,    0.615292, 1,    0.000000, 7889020928.000000
G6PE_MOUSE,    0.474687, 9,    0.095400, 83945136128.000000
G6PI_MOUSE,    0.175485, 14,    0.043295, 298876305408.000000
GABT_MOUSE,    0.193875, 25,    0.045059, 481945354240.000000
GAL3A_MOUSE,    0.153134, 10,    0.032125, 182874701824.000000
GALE_MOUSE,    0.136473, 4,    0.067160, 10911509504.000000
GALK1_MOUSE,    0.285222, 2,    0.023246, 55648124928.000000
GALK2_MOUSE,    0.702556, 1,    0.000000, 626377344.000000
GALM_MOUSE,    0.263116, 6,    0.055777, 154423328768.000000
GALNS_MOUSE,    0.214626, 1,    0.106004, 1164952960.000000
GALT_MOUSE,    0.201443, 4,    0.054709, 6862011904.000000
GAMT_MOUSE,    0.686023, 5,    0.118138, 51744743424.000000
GANAB_MOUSE,    0.292958, 21,    0.077570, 184090853376.000000
GARS_MOUSE,    1.365515, 4,    0.720076, 36297928704.000000
GAS2_MOUSE,    0.436166, 1,    0.255811, 912783360.000000
GATM_MOUSE,    0.051912, 2,    0.019369, 515471008.000000
GBB1_MOUSE,    0.343508, 2,    0.242816, 14743590912.000000
GBB2_MOUSE,    0.053749, 5,    0.141574, 21204899840.000000
GBG12_MOUSE,    2.017530, 2,    1.120138, 2967536384.000000
GCAB_MOUSE,    0.079316, 2,    0.052551, 527528352.000000
GCDH_MOUSE,    0.278356, 16,    0.061564, 518244171776.000000
GCH1_MOUSE,    0.954214, 1,    0.000000, 627927360.000000
GCKR_MOUSE,    0.239450, 8,    0.037638, 85301706752.000000
GCN1_MOUSE,    0.440216, 9,    0.142682, 13216678912.000000
GCP60_MOUSE,    0.361964, 1,    0.109337, 917884672.000000
GCR_MOUSE,    1.485570, 1,    0.000000, 107075728.000000
GCSH_MOUSE,    0.173034, 4,    0.090739, 22803087360.000000
GCSP_MOUSE,    0.250130, 11,    0.066408, 83221413888.000000
GCST_MOUSE,    0.242185, 2,    0.010565, 27439699968.000000
GDIA_MOUSE,    0.400891, 9,    0.066679, 83428794368.000000
GDIB_MOUSE,    0.434623, 21,    0.104975, 372664664064.000000
GDIR1_MOUSE,    0.233917, 7,    0.027595, 103639629824.000000
GDIR2_MOUSE,    1.522516, 2,    0.992200, 4256196096.000000
GELS_MOUSE,    0.540393, 4,    0.348738, 2782523392.000000
GEPH_MOUSE,    0.410886, 2,    0.014054, 72876654592.000000
GFPT1_MOUSE,    1.189490, 2,    0.439477, 152039664.000000
GFRP_MOUSE,    0.162678, 5,    0.140552, 66029715456.000000
GGACT_MOUSE,    0.417652, 1,    0.205195, 3675781120.000000
GGCT_MOUSE,    1.045521, 1,    0.000000, 845797888.000000
GGLO_MOUSE,    0.424298, 12,    0.101927, 242122964992.000000
GGT5_MOUSE,    0.264285, 2,    0.104027, 615682816.000000
GHC1_MOUSE,    0.384227, 4,    0.098209, 54784905216.000000
GIMA4_MOUSE,    0.118684, 3,    0.050167, 11003028480.000000
GLCM_MOUSE,    0.154598, 5,    0.042116, 7689379328.000000
GLCNE_MOUSE,    1.007428, 5,    0.169196, 32625586176.000000
GLCTK_MOUSE,    0.126975, 3,    0.080974, 55580893184.000000
GLGB_MOUSE,    0.145198, 21,    0.040127, 249130352640.000000
GLNA_MOUSE,    0.294734, 15,    0.074464, 744593358848.000000
GLO2_MOUSE,    0.401219, 8,    0.104217, 172735479808.000000
GLOD4_MOUSE,    0.256093, 4,    0.082227, 44141539328.000000
GLPK_MOUSE,    0.268189, 10,    0.052981, 109038116864.000000
GLRX1_MOUSE,    0.303036, 2,    0.057531, 36345503744.000000
GLRX3_MOUSE,    0.322806, 3,    0.249860, 10362004480.000000
GLRX5_MOUSE,    0.278930, 2,    0.249507, 18558932992.000000
GLSL_MOUSE,    0.374951, 15,    0.123139, 115661053952.000000
GLTD2_MOUSE,    1.409235, 4,    3.171077, 949538816.000000
GLU2B_MOUSE,    0.277952, 7,    0.110326, 51416076288.000000
GLUCM_MOUSE,    0.102460, 5,    0.073874, 12271547392.000000
GLYAL_MOUSE,    0.133630, 13,    0.034827, 245746827264.000000
GLYAT_MOUSE,    0.141675, 19,    0.055778, 440158060544.000000
GLYC_MOUSE,    0.266276, 17,    0.071983, 368255303680.000000
GLYG_MOUSE,    0.027677, 2,    0.064005, 3256426240.000000
GLYM_MOUSE,    0.409084, 15,    0.087482, 252510273536.000000
GMFB_MOUSE,    0.231051, 1,    0.000000, 44240016.000000
GMPPA_MOUSE,    0.269074, 4,    0.023641, 12575086592.000000
GMPPB_MOUSE,    0.273887, 2,    0.058511, 6469292544.000000
GMPR2_MOUSE,    0.194015, 0,    0.098458, 9562014720.000000
GNA11_MOUSE,    0.628598, 2,    0.148311, 3028296960.000000
GNA13_MOUSE,    0.884419, 2,    0.426061, 3198494720.000000
GNA1_MOUSE,    0.169860, 6,    0.070519, 47004536832.000000
GNAI2_MOUSE,    0.426254, 4,    0.075308, 10696235008.000000
GNAI3_MOUSE,    4.077000, 3,    3.829941, 5224905728.000000
GNAQ_MOUSE,    0.235062, 1,    0.000000, 220532352.000000
GNAS1_MOUSE,    0.545695, 2,    0.104902, 1699455232.000000
GNL1_MOUSE,    0.261235, 1,    0.051800, 394428832.000000
GNMT_MOUSE,    0.259159, 16,    0.054973, 2929393401856.000000
GNPI1_MOUSE,    0.037171, 3,    0.058318, 3304782848.000000
GNTK_MOUSE,    0.331479, 4,    0.551132, 1589048192.000000
GORS2_MOUSE,    0.290101, 3,    0.012004, 10261653504.000000
GPAT1_MOUSE,    0.623126, 8,    0.245619, 14478138368.000000
GPD1L_MOUSE,    0.258151, 3,    0.018511, 34690445312.000000
GPDA_MOUSE,    0.282328, 14,    0.041683, 878022164480.000000
GPDM_MOUSE,    0.133765, 4,    0.019552, 61084082176.000000
GPX1_MOUSE,    0.213204, 10,    0.027450, 631318773760.000000
GPX3_MOUSE,    0.343731, 1,    0.000000, 310396352.000000
GPX4_MOUSE,    0.833202, 3,    0.347708, 23169081344.000000
GRHPR_MOUSE,    0.240622, 13,    0.034203, 349472292864.000000
GRN_MOUSE,    0.171614, 1,    0.000000, 3080465408.000000
GRP75_MOUSE,    0.383635, 31,    0.099234, 1132682018816.000000
GRPE1_MOUSE,    0.425188, 3,    0.354635, 11428011008.000000
GRSF1_MOUSE,    1.758553, 1,    1.162409, 1599588864.000000
GSH0_MOUSE,    0.712831, 4,    0.153007, 127663497216.000000
GSH1_MOUSE,    0.229563, 18,    0.056705, 149592899584.000000
GSHB_MOUSE,    0.219711, 5,    0.019398, 53376860160.000000
GSHR_MOUSE,    0.193431, 5,    0.042848, 61061324800.000000
GSTA1_MOUSE,    0.203538, 4,    0.059320, 120859959296.000000
GSTA2_MOUSE,    0.097824, 4,    0.059008, 19009519616.000000
GSTA3_MOUSE,    0.196968, 8,    0.027383, 3564763086848.000000
GSTA4_MOUSE,    0.231271, 4,    0.013314, 131280142336.000000
GSTK1_MOUSE,    0.230516, 9,    0.043674, 310319579136.000000
GSTM1_MOUSE,    0.244153, 27,    0.069140, 7131179778048.000000
GSTM2_MOUSE,    0.225737, 6,    0.043048, 96518348800.000000
GSTM3_MOUSE,    0.199614, 4,    0.018995, 86698606592.000000
GSTM4_MOUSE,    0.229714, 3,    0.082271, 15868392448.000000
GSTM5_MOUSE,    0.212417, 3,    0.062624, 661269952.000000
GSTM6_MOUSE,    0.586333, 4,    0.083553, 13209715712.000000
GSTM7_MOUSE,    0.184871, 4,    0.034437, 10170848256.000000
GSTO1_MOUSE,    0.184855, 5,    0.030855, 157106077696.000000
GSTP1_MOUSE,    0.212992, 27,    0.051920, 18117107384320.000000
GSTP2_MOUSE,    0.017570, 2,    0.006566, 2093644032.000000
GSTT1_MOUSE,    0.209311, 10,    0.052829, 404418789376.000000
GSTT2_MOUSE,    0.146296, 7,    0.045470, 66479050752.000000
GSTT3_MOUSE,    0.165074, 4,    0.011482, 98645434368.000000
GTR2_MOUSE,    0.612648, 2,    0.256967, 14818604032.000000
GTR9_MOUSE,    0.281474, 2,    0.073019, 150051520.000000
GUAA_MOUSE,    0.685054, 4,    0.111234, 9589091328.000000
GUAD_MOUSE,    0.349469, 6,    0.196932, 7430086656.000000
GYS2_MOUSE,    0.224216, 16,    0.039744, 166643843072.000000
H10_MOUSE,    0.072391, 2,    0.029975, 14848104448.000000
H12_MOUSE,    0.069574, 4,    0.019317, 53368877056.000000
H13_MOUSE,    0.091883, 5,    0.014132, 225481834496.000000
H14_MOUSE,    0.090605, 2,    0.014039, 88991842304.000000
H15_MOUSE,    0.028809, 1,    0.000000, 327879328.000000
H17B6_MOUSE,    0.459291, 9,    0.100989, 315613872128.000000
H2A1B_MOUSE,    0.036378, 3,    0.001965, 1419374100480.000000
H2A2A_MOUSE,    0.036276, 3,    0.009760, 155761885184.000000
H2A2B_MOUSE,    0.023523, 0,    0.009259, 23737395200.000000
H2AV_MOUSE,    0.117385, 2,    0.029845, 69497454592.000000
H2AW_MOUSE,    0.445980, 2,    0.111968, 16752789504.000000
H2AX_MOUSE,    0.024642, 3,    0.004766, 10731569152.000000
H2AY_MOUSE,    0.101271, 5,    0.020061, 96561995776.000000
H2B1B_MOUSE,    0.039351, 9,    0.009136, 1488702144512.000000
H31_MOUSE,    0.016338, 4,    0.022714, 8329064448.000000
H32_MOUSE,    0.001433, 4,    0.001302, 277741109248.000000
H3C_MOUSE,    0.021852, 1,    0.012654, 19680057344.000000
H4_MOUSE,    0.017824, 8,    0.004479, 2710028156928.000000
HA10_MOUSE,    3.207500, 1,    3.716496, 10136664064.000000
HA11_MOUSE,    2.700613, 1,    3.689368, 1094346112.000000
HA1B_MOUSE,    5.464853, 3,    2.952351, 19427328000.000000
HA1L_MOUSE,    0.004599, 1,    0.651800, 254350752.000000
HABP4_MOUSE,    0.183047, 1,    0.000000, 407571680.000000
HACD3_MOUSE,    0.407501, 4,    1.391863, 34408263680.000000
HACL1_MOUSE,    0.290450, 16,    0.070140, 311064395776.000000
HACL2_MOUSE,    0.293755, 4,    0.047320, 2508374272.000000
HAOX1_MOUSE,    1.129751, 6,    0.130507, 69327503360.000000
HAP28_MOUSE,    0.470266, 2,    0.065576, 3659202816.000000
HARS1_MOUSE,    0.301962, 3,    0.914381, 4598649344.000000
HBA_MOUSE,    0.014776, 12,    0.007531, 6804548354048.000000
HBB1_MOUSE,    0.020829, 22,    0.005212, 10985959063552.000000
HCD2_MOUSE,    0.146668, 9,    0.019910, 467652313088.000000
HCDH_MOUSE,    0.116712, 7,    0.019445, 457015656448.000000
HDAC1_MOUSE,    0.533195, 3,    0.463372, 879437440.000000
HDGF_MOUSE,    0.294801, 6,    0.076169, 25269637120.000000
HDHD2_MOUSE,    0.147250, 4,    0.111391, 9341385728.000000
HDHD3_MOUSE,    0.137181, 2,    0.093742, 15768804352.000000
HDHD5_MOUSE,    0.104930, 3,    0.200967, 3874052352.000000
HEBP1_MOUSE,    4.644988, 4,    3.422527, 18900119552.000000
HECD1_MOUSE,    0.788323, 4,    0.942318, 327502720.000000
HEM2_MOUSE,    0.325498, 14,    0.083040, 227102638080.000000
HEM3_MOUSE,    0.456365, 3,    0.074184, 2086262784.000000
HEM6_MOUSE,    0.252388, 12,    0.057757, 68442931200.000000
HEMH_MOUSE,    0.233626, 9,    0.054070, 61655293952.000000
HEMO_MOUSE,    0.820837, 6,    0.189953, 117618991104.000000
HEP2_MOUSE,    0.212529, 0,    0.000000, 269997984.000000
HEPS_MOUSE,    0.666367, 1,    0.000000, 369514656.000000
HEXA_MOUSE,    0.156514, 1,    0.000000, 231977968.000000
HGD_MOUSE,    0.313900, 18,    0.086090, 975472558080.000000
HIBCH_MOUSE,    0.155174, 13,    0.030784, 225565638656.000000
HIKES_MOUSE,    0.240679, 1,    0.000000, 111266288.000000
HINT1_MOUSE,    0.157859, 4,    0.068929, 200215494656.000000
HINT2_MOUSE,    0.175470, 4,    0.017622, 82405924864.000000
HIP1R_MOUSE,    0.798862, 2,    0.492011, 978280640.000000
HIUH_MOUSE,    0.430298, 3,    0.283097, 152477974528.000000
HM13_MOUSE,    8.809923, 1,    6.014467, 6709413888.000000
HMCS1_MOUSE,    6.668371, 6,    3.446369, 344812617728.000000
HMCS2_MOUSE,    0.329859, 22,    0.081278, 3621801164800.000000
HMGB1_MOUSE,    0.272982, 10,    0.052522, 178516443136.000000
HMGB2_MOUSE,    0.684153, 1,    0.355540, 70987600.000000
HMGB3_MOUSE,    0.108179, 2,    0.055872, 2206506752.000000
HMGCL_MOUSE,    0.233183, 14,    0.048852, 360665841664.000000
HMGN5_MOUSE,    0.291860, 2,    0.047478, 1483973248.000000
HMOX2_MOUSE,    0.224497, 1,    0.467722, 1698801152.000000
HNMT_MOUSE,    0.134575, 1,    0.057624, 5294762496.000000
HNRH1_MOUSE,    0.373849, 7,    0.013508, 67046662144.000000
HNRH2_MOUSE,    0.351743, 3,    0.052603, 17597671424.000000
HNRL1_MOUSE,    0.000010, 0,    0.000000, 117625520.000000
HNRL2_MOUSE,    0.270156, 3,    0.380434, 43466526720.000000
HNRLL_MOUSE,    0.049210, 2,    0.024143, 366798016.000000
HNRPC_MOUSE,    0.817204, 4,    0.396291, 21811091456.000000
HNRPD_MOUSE,    0.201165, 4,    1.452665, 24938108928.000000
HNRPF_MOUSE,    0.627943, 4,    0.240278, 19796541440.000000
HNRPK_MOUSE,    0.558001, 8,    0.113262, 161367195648.000000
HNRPL_MOUSE,    0.179412, 4,    0.041238, 77818855424.000000
HNRPM_MOUSE,    0.306928, 4,    0.330588, 37088931840.000000
HNRPQ_MOUSE,    0.360305, 4,    1.342572, 36269191168.000000
HNRPU_MOUSE,    0.431773, 4,    0.081784, 111486328832.000000
HOGA1_MOUSE,    0.117297, 9,    0.018762, 341620064256.000000
HOT_MOUSE,    0.174364, 4,    0.019406, 43674673152.000000
HPPD_MOUSE,    0.762368, 21,    0.211120, 1643414552576.000000
HPRT_MOUSE,    0.308109, 6,    0.109903, 30657748992.000000
HPT_MOUSE,    0.187134, 0,    1.688616, 10510221312.000000
HRG_MOUSE,    6.024672, 2,    3.710875, 3052072704.000000
HS105_MOUSE,    1.039882, 5,    0.347713, 31773483008.000000
HS71A_MOUSE,    0.323178, 4,    0.349744, 144547643392.000000
HS71B_MOUSE,    0.336831, 5,    0.162449, 140921487360.000000
HS71L_MOUSE,    0.684153, 0,    1.148106, 8560997376.000000
HS74L_MOUSE,    0.343133, 2,    0.136278, 3567054848.000000
HS90A_MOUSE,    0.424317, 30,    0.149313, 911059320832.000000
HS90B_MOUSE,    0.515521, 25,    0.146715, 1092953636864.000000
HSDL2_MOUSE,    0.300404, 6,    0.048076, 42056503296.000000
HSP74_MOUSE,    0.434744, 14,    0.138570, 89163022336.000000
HSP7C_MOUSE,    0.550844, 28,    0.120242, 1933611499520.000000
HSPB1_MOUSE,    0.736745, 1,    0.366420, 1849868032.000000
HSPB8_MOUSE,    0.313144, 0,    0.000000, 606612928.000000
HTAI2_MOUSE,    0.276931, 3,    0.171940, 14735882240.000000
HTRA2_MOUSE,    0.156735, 1,    0.000000, 3330550528.000000
HUTH_MOUSE,    0.302809, 17,    0.073955, 307436552192.000000
HUTI_MOUSE,    0.192410, 9,    0.044036, 201571500032.000000
HUTU_MOUSE,    0.234352, 17,    0.062380, 766231773184.000000
HUWE1_MOUSE,    0.576819, 2,    0.183879, 331117248.000000
HVM12_MOUSE,    0.144379, 1,    0.000000, 67468136.000000
HXK4_MOUSE,    2.222896, 4,    1.410374, 20793673728.000000
HYEP_MOUSE,    0.360069, 29,    0.098453, 1031979073536.000000
HYES_MOUSE,    0.315061, 55,    0.088478, 2748692824064.000000
HYKK_MOUSE,    0.281147, 4,    0.085846, 12220257280.000000
HYOU1_MOUSE,    0.399982, 23,    0.092781, 262698631168.000000
HYPDH_MOUSE,    0.138229, 4,    0.046520, 16111464448.000000
I23O2_MOUSE,    0.518948, 7,    0.171001, 16935269376.000000
IAH1_MOUSE,    0.253304, 6,    0.021637, 75394449408.000000
IC1_MOUSE,    6.221635, 1,    0.000000, 4157523968.000000
ICAL_MOUSE,    0.163279, 1,    0.125300, 160564320.000000
ICAM1_MOUSE,    0.235245, 1,    0.000000, 298797184.000000
ICA_MOUSE,    0.909989, 5,    3.290368, 3139021056.000000
IDE_MOUSE,    0.501454, 3,    0.116045, 15695309824.000000
IDH3A_MOUSE,    0.133917, 4,    0.012658, 50891423744.000000
IDHC_MOUSE,    0.225818, 27,    0.054410, 1632954089472.000000
IDHG1_MOUSE,    0.307827, 6,    0.084156, 25810253824.000000
IDHP_MOUSE,    0.188072, 17,    0.049711, 303094857728.000000
IDI1_MOUSE,    4.550161, 2,    2.613882, 10359454720.000000
IF1A_MOUSE,    1.840258, 2,    0.508856, 4114368768.000000
IF2A_MOUSE,    0.244568, 4,    0.096898, 49633312768.000000
IF2B_MOUSE,    0.359971, 7,    0.068325, 19783837696.000000
IF2G_MOUSE,    0.370645, 9,    0.070126, 68370481152.000000
IF2H_MOUSE,    0.312191, 1,    0.000000, 1939152384.000000
IF2M_MOUSE,    1.023176, 1,    0.683898, 1304070912.000000
IF2P_MOUSE,    0.357546, 4,    0.107533, 8376103424.000000
IF4A1_MOUSE,    0.572242, 19,    0.142413, 404426850304.000000
IF4A2_MOUSE,    0.490029, 3,    0.193677, 31835506688.000000
IF4A3_MOUSE,    0.489957, 1,    0.000000, 9754086400.000000
IF4B_MOUSE,    0.353931, 1,    0.000000, 8720410624.000000
IF4E_MOUSE,    0.319456, 2,    0.127321, 8812496896.000000
IF4G1_MOUSE,    0.628316, 6,    0.182752, 41603121152.000000
IF4G2_MOUSE,    0.566092, 2,    0.246910, 1651960448.000000
IF4G3_MOUSE,    1.309883, 1,    0.000000, 1862459520.000000
IF4H_MOUSE,    0.842587, 1,    0.544322, 5269574144.000000
IF5A1_MOUSE,    0.382557, 12,    0.071334, 207955640320.000000
IF5_MOUSE,    0.682231, 4,    0.092777, 18313857024.000000
IF6_MOUSE,    0.470280, 5,    0.056326, 24839231488.000000
IFI4_MOUSE,    0.394043, 1,    0.132637, 240070400.000000
IGH1M_MOUSE,    0.054459, 1,    0.000000, 1940452224.000000
IGHA_MOUSE,    2.466534, 1,    0.000000, 799697280.000000
IGHG3_MOUSE,    0.197332, 2,    0.137964, 407779296.000000
IGHM_MOUSE,    0.439621, 3,    0.279574, 7184507392.000000
IGKC_MOUSE,    0.156387, 2,    0.109777, 6887946240.000000
IIGP1_MOUSE,    1.492378, 9,    0.371980, 64206102528.000000
ILEUA_MOUSE,    0.092358, 2,    0.028774, 205401584.000000
ILF2_MOUSE,    0.204705, 3,    0.703687, 6346564096.000000
ILK_MOUSE,    0.397828, 2,    0.079658, 1687132800.000000
IMA3_MOUSE,    0.920550, 1,    0.000000, 88115952.000000
IMA4_MOUSE,    0.445553, 1,    0.276643, 442888608.000000
IMA5_MOUSE,    0.862993, 3,    0.392576, 423157344.000000
IMA7_MOUSE,    0.684153, 1,    0.017210, 668645504.000000
IMB1_MOUSE,    0.419807, 7,    0.086591, 19334057984.000000
IMDH2_MOUSE,    1.384195, 4,    4.216801, 58543616000.000000
IMPA1_MOUSE,    0.147930, 3,    0.095024, 3979741952.000000
IN35_MOUSE,    0.224744, 2,    0.187575, 1862062720.000000
INMT_MOUSE,    0.182580, 16,    0.048797, 1437785784320.000000
INPP_MOUSE,    0.104632, 1,    0.000000, 138470080.000000
IPO5_MOUSE,    0.480505, 1,    0.000000, 2584741120.000000
IPO7_MOUSE,    0.669396, 4,    0.317800, 5786204160.000000
IPYR2_MOUSE,    0.175568, 6,    0.045968, 23534968832.000000
IPYR_MOUSE,    0.152413, 13,    0.040599, 314966769664.000000
IQGA1_MOUSE,    0.184938, 1,    0.108080, 1460421248.000000
IQGA2_MOUSE,    0.433658, 26,    0.117213, 254006919168.000000
IRF3_MOUSE,    0.126103, 3,    0.070606, 578179968.000000
IRGM1_MOUSE,    0.442005, 3,    0.099162, 10843632640.000000
ISC2A_MOUSE,    0.105098, 6,    0.010989, 182259154944.000000
ISCU_MOUSE,    0.263366, 1,    2.044393, 1681714432.000000
ISOC1_MOUSE,    0.336261, 4,    0.044745, 30322780160.000000
ITA1_MOUSE,    0.125072, 1,    0.035090, 310806112.000000
ITAV_MOUSE,    0.003697, 1,    0.000000, 3415036.250000
ITB1_MOUSE,    0.177129, 4,    0.043843, 8243470848.000000
ITB2_MOUSE,    0.326644, 1,    0.000000, 76539568.000000
ITIH1_MOUSE,    0.476589, 2,    0.260782, 826170688.000000
ITIH2_MOUSE,    2.205547, 3,    1.041528, 3746543616.000000
ITIH4_MOUSE,    3.110792, 1,    0.261347, 785295744.000000
ITPA_MOUSE,    0.207372, 4,    0.161981, 10016158720.000000
ITSN1_MOUSE,    0.210471, 1,    0.000000, 102691376.000000
IVD_MOUSE,    0.120702, 8,    0.032214, 206201044992.000000
IYD1_MOUSE,    0.425844, 4,    0.287094, 13349159936.000000
JAM1_MOUSE,    0.552798, 2,    0.571470, 2130006016.000000
K1C13_MOUSE,    0.034231, 2,    0.017795, 7758669312.000000
K1C14_MOUSE,    0.004403, 2,    0.001828, 5051740160.000000
K1C16_MOUSE,    0.000584, 1,    0.000000, 6212005376.000000
K1C18_MOUSE,    0.108455, 34,    0.028865, 1468392538112.000000
K1C19_MOUSE,    0.059057, 0,    0.070367, 724798208.000000
K1C42_MOUSE,    0.176131, 0,    0.000000, 2046398464.000000
K2C1B_MOUSE,    0.037753, 3,    0.031842, 212326957056.000000
K2C1_MOUSE,    0.006027, 4,    0.030849, 153193545728.000000
K2C5_MOUSE,    0.024498, 4,    0.017200, 84786552832.000000
K2C6A_MOUSE,    0.153173, 1,    0.000000, 25073010688.000000
K2C72_MOUSE,    0.000026, 0,    0.000000, 1275604608.000000
K2C73_MOUSE,    0.040776, 0,    0.020440, 15169576960.000000
K2C75_MOUSE,    0.073574, 1,    0.049154, 16379304960.000000
K2C79_MOUSE,    0.000280, 3,    0.001940, 21332019200.000000
K2C8_MOUSE,    0.124260, 25,    0.035367, 1262773862400.000000
KAD2_MOUSE,    0.137926, 9,    0.038681, 372631044096.000000
KAD3_MOUSE,    0.232998, 11,    0.097126, 180533723136.000000
KAD4_MOUSE,    0.164748, 6,    0.050737, 19402006528.000000
KAP2_MOUSE,    0.252602, 4,    0.063949, 25806397440.000000
KAPCA_MOUSE,    0.278788, 1,    0.000000, 186385952.000000
KAT1_MOUSE,    0.147371, 7,    0.078756, 66600947712.000000
KAT3_MOUSE,    0.232966, 13,    0.060192, 131851829248.000000
KBL_MOUSE,    0.123068, 12,    0.056150, 154728103936.000000
KCC2D_MOUSE,    0.112936, 1,    0.000000, 246799024.000000
KCD12_MOUSE,    0.196880, 1,    0.126515, 1241914880.000000
KCMF1_MOUSE,    0.839586, 1,    0.000000, 89879528.000000
KCRB_MOUSE,    0.108813, 2,    0.026557, 2305669888.000000
KCY_MOUSE,    0.290187, 4,    0.062856, 79501795328.000000
KEG1_MOUSE,    0.300626, 9,    0.068751, 239807414272.000000
KFA_MOUSE,    0.743945, 2,    0.988731, 2407621888.000000
KGUA_MOUSE,    2.072826, 2,    1.367376, 1114344832.000000
KHDR1_MOUSE,    0.490329, 1,    0.123386, 628607552.000000
KHK_MOUSE,    0.205042, 8,    0.072244, 293214715904.000000
KIME_MOUSE,    0.153325, 3,    0.102263, 7058937856.000000
KINH_MOUSE,    0.021002, 4,    0.108535, 2377814784.000000
KISHA_MOUSE,    0.400088, 1,    0.000000, 116377336.000000
KLC4_MOUSE,    1.450467, 1,    0.000000, 220561072.000000
KLKB1_MOUSE,    0.629565, 1,    0.199999, 539202368.000000
KMO_MOUSE,    0.232442, 15,    0.048939, 164204773376.000000
KNG1_MOUSE,    1.689833, 6,    0.715193, 17004278784.000000
KPBB_MOUSE,    0.175549, 2,    0.063966, 1984776064.000000
KPRA_MOUSE,    0.324146, 5,    0.052429, 20459442176.000000
KPRB_MOUSE,    0.012640, 0,    0.000000, 82802864.000000
KPYM_MOUSE,    0.109855, 4,    0.053224, 42924150784.000000
KPYR_MOUSE,    0.246466, 19,    0.062423, 552481390592.000000
KTAP2_MOUSE,    0.159305, 2,    0.008731, 9916239872.000000
KV2A7_MOUSE,    0.163567, 0,    0.000000, 386594880.000000
KYNU_MOUSE,    0.253233, 8,    0.064291, 116971003904.000000
L2HDH_MOUSE,    0.141045, 4,    0.154959, 15647161344.000000
